ANGPTL8
NMUR1
DEFA6
OPRPN
NRP2
MYO1G
LINC01095
DEFB123
TFF3
PPP2R5C
TEDDM1
MEP1A
MRAP
PRR30
HGFAC
SERPIND1
SCAMPER
MRAP
GRIK2
REG4
CDSN
DCSTAMP
MUSK
POPDC2
IRAK3
AIPL1
PPP3R2
FOXR1
STARD13-AS
BPIFA3
KCNK13
CYP11B1
SLIT1-AS1
LINC00602
MCHR2-AS1
MS4A6E
GPR143
BAAT
CDHR1
PIEZO2
ZFP57
UBN2
GABRA5
NALCN
RFX4
PRSS30P
RASGEF1B
CFC1
GAB2
ATXN7L1
SLC11A2
GAL3ST2
IL21
MAB21L3
LOC100506470
SIPA1L3
DPYS
LRRC32
OR2H2
DEFB106B
RBPMS-AS1
AK7
LAT2
ARMC12
SORCS3-AS1
LRRC15
MCHR2
CYP2C18
FAM71C
LINC00942
GPR55
ERVH48-1
HIPK1
BPIFC
LOC101927592
NTSR1
SYCN
TLX3
ALPL
BRINP3
C6orf10
ST20-AS1
UPK3A
SOX17
LOC101929412
OR8G2
PRODH
HIF3A
LINC00935
CCKAR
CD37
KCNC2
ZG16
CA7
DRAXIN
LINC00473
MUC6
IL24
CETP
KLK15
HTR1A
LHX5
PALMD
CTRB1
AMELY
ARMCX4
RHO
C8orf17
KIAA1210
SLC22A31
ADCY1
PAQR5
CYP4B1
WTAPP1
TFAP2D
NLRP9
SEZ6L
LINC00421
LRMP
FCGR2B
MS4A6A
LINC00347
NUDT16P1
ZNF695
FAM170A
LINC00593
ART1
CYP2C9
TRIM42
CD55
SLC24A3
CCDC57
NEUROD6
TREML3P
LEXM
VGLL2
CST8
UCP1
AGFG2
LOC101927588
AEBP1
FATE1
DNHD1
CFAP157
GNAT1
C11orf72
CLEC14A
RAB27B
NLRP4
HAS1
LOC101929454
IL16
SND1-IT1
LEPR
MCTP2
HABP2
GVINP1
FAM19A5
B3GALT2
LOC100132014
DMC1
NRIP2
LRRC3C
SPI1
MUC12
LINC00238
DACT3
NKX2-3
RNF39
GOLGA6A
ZNF154
ATP4B
KCNQ2
ERVH-3
CHRNB1
VWA5B1
LOC643406
IRX6
PRKCH
C2orf66
FCER2
NPHS1
GH2
BPIFB6
OR1C1
LINC00319
MAJIN
FFAR2
DRD4
SLC7A3
TSSK4
SLC2A2
MUC3A
IQUB
MYT1L
CNOT4
UNKL
LOC101927958
IRX6
PRAC1
IDI2
LHX9
KIAA1161
IL2
CCR4
LYZL6
TGM3
LOC101927038
ZBTB46-AS1
KIR2DL5A
LOC105372645
LOC728175
DOC2B
MAATS1
OR12D2
MRO
SPATA8-AS1
UPK2
DPCR1
PPP1R1B
DEFA4
ACP7
C15orf56
P2RY13
NRROS
ATP2B3
GNGT2
FAM71B
SVEP1
PKLR
CCNT1
PLA2G10
POLR2A
GNA14
CD3E
MRGPRX1
LOC401433///NUB1
COQ10B
PCDHB1
PTPRT
MUC5B
HNF4A
CDHR5
UNC93A
ZNF350-AS1
RASGRP4
ARHGAP27
NKX6-2
CGA
LRRC18
LINC01312
MAP3K14-AS1
FENDRR
C2orf82
NKPD1
FRMD4A
KCNA6
APOA5
ESM1
SBF2
TNFSF8
MOBP
OR4K17
CCDC114
SOS1
CNKSR1
MUC12
FLJ32742
SLC46A2
SLC29A3
DISC1
RAB3D
CARD11
LINC00841
MUC17
MRGPRE
PSG4
GNMT
RUNX1T1
HAVCR1
TMEM155
IRX4
KCNE5
RUBCN
KCNA10
UBE2U
OR7A10
ZBTB20-AS1
MESTIT1
OR8D1
CST9
GPR4
PART1
HSFX1
LOC643659
KIR2DL2
SNAP91
RBMXL2
CD34
SCNN1B
SV2C
TSACC
HGD
FHAD1
RNF128
ADRA1A
LOC100996345
FAM46C
RBFOX1
LOC100288254
MADCAM1
TNFSF15
ACSL6
ST6GALNAC1
KLK13
TRIM58
KNDC1
OR5P1P
LOC101927534
SCAMP5
LAMA1
GPR182
SIRPD
KNCN
SRMS
SLC13A1
PGLYRP2
OLIG1
PTGER4P2-CDK2AP2P2
PPM1L
HSF5
LINC00301
UBQLN3
IGKC
KRTAP15-1
IGSF11
SLC29A2
BEND4
PPP1R3F
LOC101929696
SEZ6
NBEAL2
IFNA2
GPR26
HTR5A
ARID5A
TAT
P2RY4
GBA3
KIAA0513
HOXA-AS3
CBR3-AS1
OR4S1
BEST3
CLCA4
HIST1H4K
KRT76
ATG9B
CEACAM21
CSRNP3
KNDC1
ZNF233
SPPL2C
CPB1
PRKCG
PIK3CG
LOC102723335
ITIH3
ZNF645
KRT72
HTR3A
IQCF5-AS1
REN
CDKN2A
RBM47
TNFSF15
EPO
FTMT
CETN1
OR4C46
KCNE1
ADIPOQ
KLK4
RTN4RL2
ERVFRD-1
CRYAA
C9orf135-AS1
IQCF3
OR2B6
WFDC2
LOC105379252///FAM95B1
CRIP3
CPXM1
NUDT13
GPR21
IL36A
CFTR
LOC101805491
CCAT1
ADGRF3
RTP1
LRTM1
CXCR2P1
MICAL2
NGB
KIAA1755
PSTPIP2
MCOLN3
HTR3E
TMPRSS6
IKZF4
IGF2
OR6A2
DNAH5
MUC5AC
NUP50
TG
CRYAA
GDPD4
ASPDH
MXRA5
FNDC9
PAX1
DPYSL2
TNNI1
BCAR4
ZSCAN18
STRN
MAGEB10
ZNF341
UPP2
CTDP1
GP1BA
PRSS37
PIP5K1A
OR5T2
CLCN6
PLAC4
TRIM10
TBX6
SLC22A6
CBY3
SLC4A5
OR10H3
INPP4B
HLA-DPB2
TAS2R43
USHBP1
LOC440792
KRTAP7-1
HOXC5
SPATA1
ZNF414
NAPSB
SERPINA4
ZBP1
KIR2DS4
MNX1
LOC403312
GNG8
CASC2
C10orf53
ADAMTS9-AS2
ADD2
KIR2DS4
IL9R
OR52B2
PRICKLE4
ACTL7B
LOC100144595
GTSF1
DSTYK
IGHV5-78
TF
KIR2DL4
AQP12B
RGS11
ODF3
MUC3A
HRK
SMPD3
FUBP3
UGT2B4
PLA2R1
CELF4
ESR2
STAB1
JUND
UGT3A2
TUBA3FP
ALX3
CLEC4G
C4BPB
COL6A5
C6orf25
SPATA3
SLC1A6
REM2
IRF4
CNR2
PNKD
KIR3DL1
SUN5
ADAD1
APBB1IP
ESR1
SBSPON
LRTM2
LINC00483
SPATA19
FXYD1
TEX35
ACER1
ZNF208
CYP3A43
LOC100132735
AGO1
KCNIP2
SH3RF3
SLC35F6
NFAM1
RIMBP2
ANXA8L1
TDRG1
VSIG1
ADARB2
EVPLL
FAM71A
IKZF3
FAM107A
SASH3
PRNT
SLITRK1
KIAA1614
C21orf62
FCN2
DDHD1
OR13C4
TREML1
SPG20-AS1
OMP
LOC100131496
LOC100131232
GABRR1
GLRA4
KLHL6
IGF1R
SIRPB2
ATP13A4
MGMT
MC3R
KRTAP4-8
TYMP
QSOX2
NR1H4
LINC01350
DNAH1
GPR35
KIAA1654
LRGUK
MT1JP
BORCS8-MEF2B
C1QB
CYP1B1-AS1
ATP10A
CASZ1
LGALS14
SLC2A3
PTPN23
VWA3B
ARHGEF28
GCGR
MAPK15
NAT2
TMEM51-AS1
MYO18B
RRAD
LINC00608
YIPF7
HSPB9
PCSK6
C1QC
SLC15A1
ZNRF4
GRM5
TTN
MIR924HG
RAP1GAP
ZNF675
CHIT1
IL17A
SAXO1
ITPRIPL1
MOG
SLC12A7
USH2A
SHISA7
OCM2
LOC729815
VIP
RREB1
LRRC34
KSR1
PAX4
PLD3
TMPRSS13
CEACAM5
GPR61
FGD3
CELA2B
SENCR
ABCC13
ADAMTS17
TTTY10
AWAT1
PCDHA11
FBLN7
EPB42
GRIN3B
NUP210L
OR4K1
GAB1
LIPI
GRAP2
NEFH
GHRL
AGXT
TBX10
IL5RA
MYH11
KRTAP13-2
MGC16275
TGM7
GZMK
SPTLC3
SCRT1
TNNT3
NGRN
RIMBP2
CRTC1
HPN
RS1
TECTB
PSG9
PTPN21
DNASE1L2
KIF6
C1orf64
GRIN2C
ZDHHC22
TSGA10IP
MUC3A
TSKS
LINC00654
PLA2G4F
MUC5B
KIR2DS2
DKK2
IGLJ3
FTCD
IZUMO4
LOC100287704
SLC25A42
CD8B
FCAMR
TCL1A
CRP
PPL
AQP9
BMP15
LOC100129935
SIRPG
OR51E1
LCP2
ARHGEF15
PPP2R2C
CSHL1
MC2R
TNFSF8
NPBWR1
PLVAP
NLRC5
ADGRG5
LILRP2
OPN1SW
LOC100130456
HECTD4
CYP4A11
HCG4B
GUSBP3///SMA4
PGLYRP1
IL12RB1
QPCT
CYP4Z1
IGFBPL1
TREM2
FCGR3A
CASP10
INSL4
ANXA13
EDIL3
LINC01123
PARVB
FLT3
DPEP1
SMCP
STATH
EFCAB3
PIAS3
IL5RA
CRYBA1
MOP-1
LCE4A
CLASP2
BAP1
TP53TG3HP
TEX13A
ASCL2
NEUROD4
TSPAN14
IL24
SIX4
IFNL1
HEATR9
SGIP1
CYP2A13
DNM1P46
HEPACAM
CSHL1
C16orf71
SPINK5
LOC100129917
NAALADL1
LOC100506725
MCCD1
OR1D2
C6orf25
VAMP8
SLC36A1
SERPINE3
ZNF560
CDK5R1
ZFP41
HSPA12A
IFIT2
ITGA2B
DNAH14
SPESP1
FAM222A-AS1
CNP
SLC6A11
IGHA2///IGHA1///IGH
PCP4L1
TFF1
GRIP2
GUCA2A
PI16
CEBPA-AS1
PRM2
SLC17A2
MAVS
BMP5
A1CF
SSH2
IQSEC3
DSCAM-AS1
DDX11L2
KCNJ5
TTTY2
GVINP1
UBOX5
CALML5
CTAGE5
LOC400707
GPR75
GCSAM
LOC102724760///IGHV1OR15-1
TRPM1
GUCY2GP
TUBB1
NPPA
SLC5A9
ARSG
NCKAP1L
TSHB
SHISA9
MAP3K1
KMO
PES1
MBL2
ACMSD
LRRC20
LINC01105
ACTL6B
TMEM132B
LOC101927502
FMO5
CDC42BPG
C1orf226
GJC3
DNM3OS
COX7A1
MS4A4A
B3GALT4
IGSF23
SPRR4
WFIKKN2
IL17F
KCNIP4
TRABD2A
POLR2M
KIR2DS1
SLC24A2
LINC01356
CRNN
SPATA25
SLC6A7
CTTNBP2NL
OR5P2
RASGEF1A
MGAT3
MYPN
GIT1
LINC01102
FAM83C
UROC1
DAOA
BPIFB1
MAP6D1
TINAG
LINC01082
TMC2
SOX14
OXGR1
NEU4
OTC
CAMSAP3
SLC17A1
GSTM5
CTSW
ZBTB12
RPS9
LBP
SPTB
CSF3R
OR12D3
C3orf20
SIGLEC7
ST8SIA2
IGSF6
MYL4
FAM20A
MAATS1
KCNQ2
GAD2
GPR34
PCNX3
PSG1
CXCR1
LOC400794
ELANE
SDK2
LINC01549
LOC619427
SGCD
KCNJ1
FOXP3
LINC00905
MTMR8
KIR2DS4
LINC00474
SAMD7
LPCAT1
RCOR2
GET4
LOC101928751
TTBK2
CTSE
MMRN1
ZIM3
ATP8B2
PPFIBP1
FSHB
LOC107985946
ARHGEF12
ALOXE3
SST
RGMB-AS1
SMIM12
CDC42BPB
LOC100131840
CDIPT-AS1
TRIP12
DENND1C
ARHGEF28
CPLX3
CCBE1
APC
ZNRD1ASP
MYBPC2
SVOP
LEUTX
KIF26B
OR5I1
TAS2R13
DGKE
SPZ1
PRDM8
RBSN
HCK
GAL3ST3
KCNMA1
TTLL6
TTLL10
ZNF652
OTOP1
SOHLH2
SLC12A3
